Year,FIPS,AgeGroup,MonthlyIncome,AverageRate,AveragePoints,County,MedianHousePrice,MonthlyMortgage,mortgage_income_ratio,affordable
2021,34009,65-plus,5672.391769126931,3.07,0.7,Cape May County,549498.0,2922.4613595943247,0.515207954341302,No
2021,34009,65-plus,5672.391769126931,3.1,0.6,Cape May County,556894.0,2969.773309974338,0.5235486953030807,No
2021,34009,overall,5914.264086049042,2.74,0.7,Cape May County,444248.0,2293.59151380947,0.38780674661108655,No
2021,34009,overall,5914.264086049042,2.81,0.7,Cape May County,450519.0,2340.694472270817,0.39577104407498515,No
2021,34009,overall,5914.264086049042,3.08,0.7,Cape May County,458142.0,2438.77767556457,0.4123552212214061,No
2021,34009,overall,5914.264086049042,3.06,0.7,Cape May County,465689.0,2474.5094936384594,0.4183968550669721,No
2021,34009,overall,5914.264086049042,2.96,0.7,Cape May County,478261.0,2518.5981199020785,0.42585148097176023,No
2021,34009,overall,5914.264086049042,2.98,0.7,Cape May County,491008.0,2590.3766002026596,0.4379879833761586,No
2021,34009,overall,5914.264086049042,2.87,0.7,Cape May County,504493.0,2635.3212633258227,0.4455873503420642,No
2021,34009,overall,5914.264086049042,2.84,0.7,Cape May County,516971.0,2693.2180166412577,0.45537669225731714,No
2021,34009,overall,5914.264086049042,2.9,0.7,Cape May County,530710.0,2779.765482285773,0.4700103752287403,No
2021,34009,overall,5914.264086049042,3.07,0.7,Cape May County,541639.0,2880.6638938618707,0.4870705555162766,No
2021,34009,overall,5914.264086049042,3.07,0.7,Cape May County,549498.0,2922.4613595943247,0.49413778571166955,No
2021,34009,overall,5914.264086049042,3.1,0.6,Cape May County,556894.0,2969.773309974338,0.5021374201026356,No
2021,34009,under-25,5864.498206171943,2.74,0.7,Cape May County,444248.0,2293.59151380947,0.39109765800518753,No
2021,34009,under-25,5864.498206171943,2.81,0.7,Cape May County,450519.0,2340.694472270817,0.39912954015527063,No
2021,34009,under-25,5864.498206171943,3.08,0.7,Cape May County,458142.0,2438.77767556457,0.4158544499166084,No
2021,34009,under-25,5864.498206171943,3.06,0.7,Cape May County,465689.0,2474.5094936384594,0.4219473528074788,No
2021,34009,under-25,5864.498206171943,2.96,0.7,Cape May County,478261.0,2518.5981199020785,0.42946523834749295,No
2021,34009,under-25,5864.498206171943,2.98,0.7,Cape May County,491008.0,2590.3766002026596,0.4417047305899903,No
2021,34009,under-25,5864.498206171943,2.87,0.7,Cape May County,504493.0,2635.3212633258227,0.44936858545754954,No
2021,34009,under-25,5864.498206171943,2.84,0.7,Cape May County,516971.0,2693.2180166412577,0.4592409993078092,No
2021,34009,under-25,5864.498206171943,2.9,0.7,Cape May County,530710.0,2779.765482285773,0.47399886308436057,No
2021,34009,under-25,5864.498206171943,3.07,0.7,Cape May County,541639.0,2880.6638938618707,0.4912038153290232,No
2021,34009,under-25,5864.498206171943,3.07,0.7,Cape May County,549498.0,2922.4613595943247,0.4983310177362923,No
2021,34009,under-25,5864.498206171943,3.1,0.6,Cape May County,556894.0,2969.773309974338,0.5063985366810881,No
2022,34009,25-44,7388.563960967182,3.45,0.7,Cape May County,564115.0,3103.8019078624347,0.42008188928991,No
2022,34009,25-44,7388.563960967182,3.76,0.8,Cape May County,574332.0,3248.0842384960406,0.4396096799940077,No
2022,34009,25-44,7388.563960967182,4.17,0.8,Cape May County,583643.0,3421.8735872399466,0.4631310773402325,No
2022,34009,45-64,7563.756106419974,3.45,0.7,Cape May County,564115.0,3103.8019078624347,0.410351928881999,No
2022,34009,45-64,7563.756106419974,3.76,0.8,Cape May County,574332.0,3248.0842384960406,0.4294274157966474,No
2022,34009,45-64,7563.756106419974,4.17,0.8,Cape May County,583643.0,3421.8735872399466,0.4524040092111808,No
2022,34009,65-plus,5885.366268546854,3.45,0.7,Cape May County,564115.0,3103.8019078624347,0.5273761676397396,No
2022,34009,65-plus,5885.366268546854,3.76,0.8,Cape May County,574332.0,3248.0842384960406,0.5518916054307049,No
2022,34009,65-plus,5885.366268546854,4.17,0.8,Cape May County,583643.0,3421.8735872399466,0.5814206679926541,No
2022,34009,overall,6342.019755274686,3.45,0.7,Cape May County,564115.0,3103.8019078624347,0.48940274985441173,No
2022,34009,overall,6342.019755274686,3.76,0.8,Cape May County,574332.0,3248.0842384960406,0.5121529676400952,No
2022,34009,overall,6342.019755274686,4.17,0.8,Cape May County,583643.0,3421.8735872399466,0.5395558070272423,No
2022,34009,under-25,6799.247773969707,3.45,0.7,Cape May County,564115.0,3103.8019078624347,0.4564919548519844,No
2022,34009,under-25,6799.247773969707,3.76,0.8,Cape May County,574332.0,3248.0842384960406,0.4777122920760487,No
2022,34009,under-25,6799.247773969707,4.17,0.8,Cape May County,583643.0,3421.8735872399466,0.5032723767385378,No
2020,34011,25-44,4328.398809520305,3.62,0.7,Cumberland County,138781.0,775.1994898777708,0.1790961332335461,Yes
2020,34011,25-44,4328.398809520305,3.47,0.7,Cumberland County,139575.0,769.319430986994,0.17773764961187896,Yes
2020,34011,25-44,4328.398809520305,3.45,0.7,Cumberland County,139222.0,766.00960658097,0.17697297321497577,Yes
2020,34011,25-44,4328.398809520305,3.31,0.7,Cumberland County,140312.0,762.4349112715092,0.17614710307990453,Yes
2020,34011,25-44,4328.398809520305,3.23,0.7,Cumberland County,141912.0,765.6383353005212,0.1768871975513211,Yes
2020,34011,25-44,4328.398809520305,3.16,0.8,Cumberland County,144181.0,773.0239311334536,0.17859350885902403,Yes
2020,34011,25-44,4328.398809520305,3.02,0.8,Cumberland County,146407.0,775.1686026655871,0.17908899728939146,Yes
2020,34011,25-44,4328.398809520305,2.94,0.8,Cumberland County,148917.0,782.8119820268685,0.18085486492258407,Yes
2020,34011,25-44,4328.398809520305,2.89,0.8,Cumberland County,151112.0,790.7862125712229,0.18269716987073606,Yes
2020,34011,25-44,4328.398809520305,2.83,0.7,Cumberland County,153715.0,800.0744657565585,0.18484305651244434,Yes
2020,34011,25-44,4328.398809520305,2.77,0.7,Cumberland County,156385.0,809.5819438285956,0.18703959118737434,Yes
2020,34011,25-44,4328.398809520305,2.68,0.7,Cumberland County,159980.0,821.4937336203152,0.18979159956643582,Yes
